Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Foyesade Oluokun,JAX,0,0,0,0,0,0.0,12,6,6,0,1,0,0,0,0
Andre Cisco,JAX,0,0,0,0,0,0.0,9,6,3,0,0,0,0,0,0
Shaquill Griffin,JAX,0,0,0,0,2,0.0,9,7,2,2,0,0,0,0,0
Rayshawn Jenkins,JAX,0,0,0,0,1,0.0,8,7,1,0,0,0,0,0,0
Tyson Campbell,JAX,0,0,0,0,3,0.0,7,7,0,0,0,0,0,0,1
Devin Lloyd,JAX,0,0,0,0,0,0.0,7,5,2,0,0,0,0,0,0
DaVon Hamilton,JAX,0,0,0,0,0,0.0,6,2,4,0,1,0,0,0,0
Travon Walker,JAX,0,0,0,0,0,0.0,4,1,3,0,1,0,0,0,0
Adam Gotsis,JAX,0,0,0,0,0,0.0,2,1,1,1,0,0,0,0,0
Caleb Johnson,JAX,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Roy Robertson-Harris,JAX,0,0,0,0,1,0.0,2,0,2,0,1,0,0,0,0
Ty Summers,JAX,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Darious Williams,JAX,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Josh Allen,JAX,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0
Tre Herndon,JAX,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Arden Key,JAX,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Ross Matiscik,JAX,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Shaquille Quarterman,JAX,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Daniel Thomas,JAX,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Christian Kirk,JAX,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Corey Peters,JAX,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
DeForest Buckner,IND,0,0,0,0,0,1.0,5,3,2,1,1,0,0,0,0
Grover Stewart,IND,0,0,0,0,0,1.0,5,4,1,1,1,0,0,0,0
Tyquan Lewis,IND,0,0,0,0,0,1.0,4,3,1,1,1,0,0,0,1
Ifeadi Odenigbo,IND,0,0,0,0,0,1.0,3,2,1,1,1,0,0,0,0
Bobby Okereke,IND,0,0,0,0,0,0.0,13,8,5,1,0,0,0,0,0
Zaire Franklin,IND,0,0,0,0,0,0.0,12,7,5,1,0,0,0,0,0
Rodney Thomas II,IND,0,0,0,0,0,0.0,7,4,3,0,0,0,0,0,0
E.J. Speed,IND,0,0,0,0,0,0.0,6,2,4,1,0,0,0,0,0
Rodney McLeod,IND,0,0,0,0,0,0.0,5,4,1,2,0,0,0,0,0
Stephon Gilmore,IND,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Byron Cowart,IND,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Kenny Moore,IND,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Grant Stuard,IND,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Tony Brown,IND,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
JoJo Domann,IND,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Brandon Facyson,IND,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Kylen Granson,IND,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Dayo Odeyingbo,IND,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Isaiah Rodgers,IND,0,0,0,0,0,0.0,1,0,1,0,0,1,18,0,0
Chris Williams,IND,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Nick Cross,IND,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Ryan Kelly,IND,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
