Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Joe Flacco,BAL,22,38,235,0,1,4,38,30,65.1,0,0,0,,0,0,0,0,,0,0
Justin Forsett,BAL,0,0,0,0,0,0,0,,,6,42,1,29,8,7,55,0,26,0,0
Bernard Pierce,BAL,0,0,0,0,0,0,0,,,4,30,0,13,0,0,0,0,,0,0
Lorenzo Taliaferro,BAL,0,0,0,0,0,0,0,,,5,18,0,9,0,0,0,0,,0,0
Owen Daniels,BAL,0,0,0,0,0,0,0,,,0,0,0,,7,5,70,0,18,0,0
Torrey Smith,BAL,0,0,0,0,0,0,0,,,0,0,0,,8,3,38,0,20,0,0
Steve Smith Sr.,BAL,0,0,0,0,0,0,0,,,0,0,0,,7,5,34,0,17,1,1
Jacoby Jones,BAL,0,0,0,0,0,0,0,,,0,0,0,,1,1,30,0,30,1,1
Kamar Aiken,BAL,0,0,0,0,0,0,0,,,0,0,0,,1,1,8,0,8,0,0
Marlon Brown,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Kyle Juszczyk,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Andrew Luck,IND,32,49,312,1,2,1,7,30,72.8,6,22,1,13,0,0,0,0,,1,0
Ahmad Bradshaw,IND,0,0,0,0,0,0,0,,,15,68,0,20,5,4,17,0,11,1,1
Trent Richardson,IND,0,0,0,0,0,0,0,,,9,37,0,14,5,4,10,0,6,0,0
T.Y. Hilton,IND,0,0,0,0,0,0,0,,,0,0,0,,12,9,90,0,21,1,0
Reggie Wayne,IND,0,0,0,0,0,0,0,,,0,0,0,,12,7,77,0,28,0,0
Dwayne Allen,IND,0,0,0,0,0,0,0,,,0,0,0,,5,4,59,1,28,0,0
Coby Fleener,IND,0,0,0,0,0,0,0,,,0,0,0,,2,1,30,0,30,0,0
Hakeem Nicks,IND,0,0,0,0,0,0,0,,,0,0,0,,6,3,29,0,16,0,0
