Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Bryce Young,CAR,15,31,178,0,1,4,29,31,52.9,0,0,0,0,0,0,0,0,0,1,0
Chuba Hubbard,CAR,0,0,0,0,0,0,0,0,,25,104,2,17,0,0,0,0,0,0,0
Miles Sanders,CAR,0,0,0,0,0,0,0,0,,8,23,0,8,2,1,6,0,6,0,0
Raheem Blackshear,CAR,0,0,0,0,0,0,0,0,,1,6,0,6,0,0,0,0,0,0,0
Jonathan Mingo,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,69,0,31,1,0
DJ Chark,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,56,0,30,0,0
Adam Thielen,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,25,0,12,0,0
Stephen Sullivan,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,16,0,16,0,0
Ian Thomas,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Mike Strachan,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Baker Mayfield,TAM,14,29,202,1,1,1,8,75,68.5,2,-2,0,-1,0,0,0,0,0,0,0
Rachaad White,TAM,0,0,0,0,0,0,0,0,,20,84,1,30,5,3,22,0,20,0,0
Chris Godwin,TAM,0,0,0,0,0,0,0,0,,1,19,1,19,3,0,0,0,0,0,0
Trey Palmer,TAM,0,0,0,0,0,0,0,0,,1,13,0,13,5,2,12,0,6,0,0
Deven Thompkins,TAM,0,0,0,0,0,0,0,0,,2,7,0,5,1,1,4,0,4,0,0
Chase Edmonds,TAM,0,0,0,0,0,0,0,0,,2,7,0,4,1,1,2,0,2,0,0
Mike Evans,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,12,7,162,1,75,0,0
