Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Jaquan Brisker,CHI,0,0,0,0,0,0.0,11,7,4,1,0,0,0,0,1
Jack Sanborn,CHI,0,0,0,0,0,0.0,9,8,1,0,1,1,0,0,0
Kyler Gordon,CHI,0,0,0,0,0,0.0,7,4,3,1,0,0,0,0,0
Eddie Jackson,CHI,0,0,0,0,1,0.0,7,6,1,0,0,0,0,0,0
Nicholas Morrow,CHI,0,0,0,0,0,0.0,4,4,0,1,0,0,0,0,0
Justin Jones,CHI,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Joe Thomas,CHI,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Matthew Adams,CHI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Josh Blackwell,CHI,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Ryan Griffin,CHI,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Jaylon Johnson,CHI,0,0,0,0,0,0.0,2,1,1,0,0,1,17,0,0
Trevis Gipson,CHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
DeAndre Houston-Carson,CHI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,1
Darnell Mooney,CHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Al-Quadin Muhammad,CHI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Mike Pennel,CHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Dominique Robinson,CHI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Kindle Vildor,CHI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Armon Watts,CHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Trestan Ebner,CHI,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Justin Fields,CHI,0,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Jaylinn Hawkins,ATL,1,0,0,0,1,0.0,3,1,2,0,0,0,0,0,0
Arnold Ebiketie,ATL,0,0,0,0,0,1.0,6,5,1,2,1,0,0,0,0
Lorenzo Carter,ATL,0,0,0,0,0,1.0,5,4,1,1,1,0,0,0,0
Abdullah Anderson,ATL,0,0,0,0,0,1.0,4,3,1,1,1,0,0,0,0
Grady Jarrett,ATL,0,0,0,0,1,1.0,2,1,1,1,1,0,0,0,0
Rashaan Evans,ATL,0,0,0,0,0,0.0,11,8,3,0,0,0,0,0,0
Mykal Walker,ATL,0,0,0,0,2,0.0,8,3,5,1,0,0,0,0,0
Darren Hall,ATL,0,0,0,0,0,0.0,7,7,0,0,0,0,0,0,0
Richie Grant,ATL,0,0,0,0,0,0.0,6,1,5,0,0,0,0,0,0
Troy Andersen,ATL,0,0,0,0,0,0.0,5,4,1,1,0,0,0,0,0
Isaiah Oliver,ATL,0,0,0,0,0,0.0,4,4,0,1,0,0,0,0,0
AJ Terrell,ATL,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
DeAngelo Malone,ATL,0,0,0,0,0,0.0,3,2,1,1,0,0,0,0,0
Timmy Horne,ATL,0,0,0,0,0,0.0,2,0,2,0,1,0,0,0,0
DeAundre Alford,ATL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Jalen Dalton,ATL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Erik Harris,ATL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Chris Lindstrom,ATL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Adetokunbo Ogundeji,ATL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
