Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Teair Tart,TEN,1,0,0,0,2,0.0,3,1,2,0,0,0,0,0,0
Denico Autry,TEN,0,0,0,0,0,2.0,2,2,0,1,3,0,0,0,1
Rashad Weaver,TEN,0,0,0,0,0,1.0,2,2,0,1,2,0,0,0,1
Dylan Cole,TEN,0,0,0,0,0,0.0,7,5,2,1,0,0,0,0,0
David Long,TEN,0,0,0,0,1,0.0,7,4,3,1,0,0,0,0,0
Roger McCreary,TEN,0,0,0,0,0,0.0,7,5,2,1,0,0,0,0,0
Kevin Byard,TEN,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
Joe Schobert,TEN,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,1
Andrew Adams,TEN,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
Jeffery Simmons,TEN,0,0,0,0,0,0.0,5,1,4,0,0,0,0,0,0
Caleb Farley,TEN,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
Kristian Fulton,TEN,0,0,0,0,0,0.0,3,2,1,0,0,1,0,0,0
Joshua Kalu,TEN,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Mario Edwards,TEN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Terrance Mitchell,TEN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Kevin Strong,TEN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Bud Dupree,TEN,0,0,0,0,0,0.0,1,0,1,0,0,1,0,0,0
Hassan Haskins,TEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Joseph Jones,TEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Kwity Paye,IND,0,0,0,0,0,1.0,3,1,2,1,2,0,0,0,0
Grover Stewart,IND,0,0,0,0,0,1.0,3,2,1,0,1,0,0,0,0
Dayo Odeyingbo,IND,0,0,0,0,0,1.0,2,1,1,1,1,0,0,0,0
Zaire Franklin,IND,0,0,0,0,0,0.0,15,8,7,0,1,0,0,0,0
Bobby Okereke,IND,0,0,0,0,0,0.0,8,5,3,0,0,0,0,0,0
Kenny Moore,IND,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
Rodney McLeod,IND,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
Ben Banogu,IND,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
JoJo Domann,IND,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Tyquan Lewis,IND,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Isaiah Rodgers,IND,0,0,0,0,0,0.0,3,2,1,1,0,0,0,0,0
E.J. Speed,IND,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Rodney Thomas II,IND,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Shaquille Leonard,IND,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Brandon Facyson,IND,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Stephon Gilmore,IND,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Yannick Ngakoue,IND,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Matt Pryor,IND,0,0,0,0,0,0.0,0,0,0,0,0,1,13,0,0
