Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Daniel Jones,NYG,16,27,213,0,0,0,0,53,84.3,6,19,0,7,0,0,0,0,0,0,0
Colt McCoy,NYG,6,10,31,0,0,0,0,15,65.0,5,7,0,4,0,0,0,0,0,0,0
Golden Tate,NYG,0,1,0,0,0,0,0,0,39.6,0,0,0,0,9,4,36,0,13,0,0
Wayne Gallman,NYG,0,0,0,0,0,0,0,0,,24,94,1,18,5,3,-3,0,4,0,0
Dion Lewis,NYG,0,0,0,0,0,0,0,0,,2,10,0,7,3,1,7,0,7,0,0
Alfred Morris,NYG,0,0,0,0,0,0,0,0,,4,8,0,5,0,0,0,0,0,0,0
Sterling Shepard,NYG,0,0,0,0,0,0,0,0,,1,4,0,4,8,7,64,0,16,0,0
Evan Engram,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,129,0,53,1,1
C.J. Board,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,0,11,0,0
Darius Slayton,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Brandon Allen,CIN,17,29,136,1,1,2,21,18,67.6,4,7,0,4,0,0,0,0,0,1,1
Giovani Bernard,CIN,0,0,0,0,0,0,0,0,,8,32,0,15,3,2,17,0,16,0,0
Shawn Williams,CIN,0,0,0,0,0,0,0,0,,1,7,0,7,0,0,0,0,0,0,0
Tee Higgins,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,44,1,18,0,0
Drew Sample,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,40,0,16,1,1
Tyler Boyd,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,15,0,9,0,0
Cethan Carter,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0
Samaje Perine,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,0
A.J. Green,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0
Auden Tate,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Trayveon Williams,CIN,0,0,0,0,0,0,0,0,,1,-2,0,-2,1,1,13,0,13,0,0
Alex Erickson,CIN,0,0,0,0,0,0,0,0,,1,-4,0,-4,0,0,0,0,0,0,0
